epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,112.1,0.01266,9.44206,1.98537,0.52431,0.54958,0.48149,0.18831,0.01293,7.48216,2.12889,0.000278808,0.000198675,0.000198675
2,218.934,0.01191,7.39923,2.01808,0.65535,0.53142,0.57267,0.27864,0.01176,7.19882,2.01422,0.000458711,0.000398578,0.000398578
3,324.791,0.01261,7.70592,2.17106,0.56341,0.5511,0.5351,0.22635,0.01293,11.8459,2.26601,0.000638223,0.000598091,0.000598091
4,430.032,0.01241,7.45401,2.16044,0.56156,0.53596,0.53431,0.24903,0.01256,7.49611,2.21697,0.000817053,0.000796921,0.000796921
5,535.757,0.01242,7.52374,2.18054,0.6838,0.53596,0.5741,0.26617,0.01282,7.17222,2.27292,0.00099491,0.000994777,0.000994777
6,640.788,0.01242,7.33394,2.1734,0.68218,0.54656,0.58468,0.28227,0.0123,7.14604,2.14293,0.000993906,0.000993906,0.000993906
7,746.225,0.01224,7.16582,2.15253,0.76267,0.59198,0.66725,0.32271,0.01226,6.14875,2.14264,0.000991232,0.000991232,0.000991232
8,850.634,0.01199,7.02617,2.13631,0.74121,0.595,0.65299,0.31199,0.01196,6.25884,2.13016,0.000988079,0.000988079,0.000988079
9,955.449,0.01192,6.91907,2.11099,0.74812,0.57229,0.62794,0.3117,0.01195,6.71814,2.09665,0.000984449,0.000984449,0.000984449
10,1060.64,0.01177,6.73734,2.10566,0.73878,0.61873,0.67564,0.32514,0.01206,6.4088,2.11981,0.000980345,0.000980345,0.000980345
11,1165.05,0.0117,6.62636,2.09665,0.76725,0.61393,0.65741,0.30128,0.01278,6.23857,2.20245,0.000975773,0.000975773,0.000975773
12,1269.32,0.0116,6.45738,2.07433,0.70729,0.57911,0.61669,0.30061,0.01214,6.34764,2.13968,0.000970736,0.000970736,0.000970736
13,1373.1,0.01153,6.4463,2.074,0.73219,0.61053,0.65373,0.32145,0.01196,6.04437,2.11806,0.000965239,0.000965239,0.000965239
14,1478.18,0.01137,6.35158,2.05265,0.76418,0.60836,0.68332,0.34086,0.01191,5.83155,2.13924,0.000959289,0.000959289,0.000959289
